117.21.176.75 -  -  [25/Aug/2015:01:12:03 +0000] "GET /manager/html HTTP/1.1" 404 1413 
127.0.0.1 -  -  [25/Aug/2015:14:34:38 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:34:48 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:34:59 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:35:09 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:35:20 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:35:31 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:35:41 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:35:52 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:36:02 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:36:13 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:36:23 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:36:34 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:36:44 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:36:55 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:37:05 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:37:16 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 1785 
127.0.0.1 -  -  [25/Aug/2015:14:37:24 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:37:35 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:37:45 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:37:56 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:38:06 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:38:17 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:38:27 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:38:38 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:38:48 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:38:59 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
