@relation rel

@attribute date date 'yyyy-MM-dd\'T\'HH:mm:ss'
@attribute knownPresence numeric
@attribute openEntryPoint numeric
@attribute motionIndoors numeric
@attribute motionIndoorPerMinute numeric
@attribute motionOutdoors numeric
@attribute outdoorPerMinute numeric
@attribute normal {true,false}

@data
2015-11-24T12:47:51,1,1,1,1,0,0,true
2015-11-24T12:47:51,1,1,1,1,0,0,true
2015-11-24T12:47:51,1,1,1,1,0,0,true
2015-11-24T12:47:51,1,1,1,1,0,0,true
2015-11-24T12:47:52,1,1,1,1,0,0,true
2015-11-24T12:47:52,1,1,1,1,0,0,true
2015-11-24T12:47:52,1,1,1,1,0,0,true
2015-11-24T12:47:53,1,1,1,1,0,0,true
2015-11-24T12:47:53,1,1,1,1,0,0,true
2015-11-24T12:47:53,1,1,1,1,0,0,true
2015-11-24T12:47:54,1,1,1,1,0,0,true
2015-11-24T12:47:54,1,1,1,1,0,0,true
2015-11-24T12:47:54,1,1,1,1,0,0,true
2015-11-24T12:47:55,1,1,1,1,0,0,true
2015-11-24T12:47:55,1,1,1,1,0,0,true
2015-11-24T12:47:55,1,1,1,1,0,0,true
2015-11-24T12:47:56,1,1,1,1,0,0,true
2015-11-24T12:47:56,1,1,1,1,0,0,true
2015-11-24T12:47:56,1,1,1,1,0,0,true
2015-11-24T12:47:56,1,1,1,1,0,0,true
2015-11-24T12:47:57,1,1,1,1,0,0,true
2015-11-24T12:47:57,1,1,1,1,0,0,true
2015-11-24T12:47:57,1,1,1,1,0,0,true
2015-11-24T12:47:58,1,1,1,1,0,0,true
2015-11-24T12:47:58,1,1,1,1,0,0,true
2015-11-24T12:47:58,1,1,1,1,0,0,true
2015-11-24T12:47:59,1,1,1,1,0,0,true
2015-11-24T12:47:59,1,1,1,1,0,0,true
2015-11-24T12:47:59,1,1,1,1,0,0,true
2015-11-24T12:48:00,1,1,1,1,0,0,true
2015-11-24T12:48:00,1,1,1,1,0,0,true
2015-11-24T12:48:00,1,1,1,1,0,0,true
2015-11-24T12:48:01,1,1,1,1,0,0,true
2015-11-24T12:48:01,1,1,1,1,0,0,true
2015-11-24T12:48:01,1,1,1,1,0,0,true
2015-11-24T12:48:01,1,1,1,1,0,0,true
2015-11-24T12:48:02,1,1,1,1,0,0,true
2015-11-24T12:48:02,1,1,1,1,0,0,true
2015-11-24T12:48:02,1,1,1,1,0,0,true
2015-11-24T12:48:03,1,1,1,1,0,0,true
2015-11-24T12:48:03,1,1,1,1,0,0,true
2015-11-24T12:48:03,1,1,1,1,0,0,true
2015-11-24T12:48:04,1,1,1,1,0,0,true
2015-11-24T12:48:04,1,1,1,1,0,0,true
2015-11-24T12:48:04,1,1,1,1,0,0,true
2015-11-24T12:48:05,1,1,1,1,0,0,true
2015-11-24T12:48:05,1,1,1,1,0,0,true
2015-11-24T12:48:05,1,1,1,1,0,0,true
2015-11-24T12:48:06,1,1,1,1,0,0,true
2015-11-24T12:48:06,1,1,1,1,0,0,true
2015-11-24T12:48:06,1,1,1,1,0,0,true
2015-11-24T12:48:06,1,1,1,1,0,0,true
2015-11-24T12:48:07,1,1,1,1,0,0,true
2015-11-24T12:48:07,1,1,1,1,0,0,true
2015-11-24T12:48:07,1,1,1,1,0,0,true
2015-11-24T12:48:08,1,1,1,1,0,0,true
2015-11-24T12:48:08,1,1,1,1,0,0,true
2015-11-24T12:48:08,1,1,1,1,0,0,true
2015-11-24T12:48:09,1,1,1,1,0,0,true
2015-11-24T12:48:09,1,1,1,1,0,0,true
2015-11-24T12:48:09,1,1,1,1,0,0,true
2015-11-24T12:48:10,1,1,1,1,0,0,true
2015-11-24T12:48:10,1,1,1,1,0,0,true
2015-11-24T12:48:10,1,1,1,1,0,0,true
2015-11-24T12:48:11,1,1,1,1,0,0,true
2015-11-24T12:48:11,1,1,1,1,0,0,true
2015-11-24T12:48:11,1,1,1,1,0,0,true
2015-11-24T12:48:11,1,1,1,1,0,0,true
2015-11-24T12:48:12,1,1,1,1,0,0,true
2015-11-24T12:48:12,1,1,1,1,0,0,true
2015-11-24T12:48:12,1,1,1,1,0,0,true
2015-11-24T12:48:13,1,1,1,1,0,0,true
2015-11-24T12:48:13,1,1,1,1,0,0,true
2015-11-24T12:48:13,1,1,1,1,0,0,true
2015-11-24T12:48:14,1,1,1,1,0,0,true
2015-11-24T12:48:14,1,1,1,1,0,0,true
2015-11-24T12:48:14,1,1,1,1,0,0,true
